maker;model;anno;targa
Dodge;Ram Van 2500;2002;RRX6O6ID
Toyota;Tacoma;1997;BL8KG7O5
Audi;A4;2012;4MIDW5ST
Pontiac;Grand Prix;2004;8A16IUHF
Hyundai;Elantra;2003;MZEP94M3
Subaru;Alcyone SVX;1996;8MASM6R5
Lexus;IS;2011;U1T0V77N
Porsche;Carrera GT;2004;GG84VHQU
Chrysler;PT Cruiser;2004;8LA42HYU
Hyundai;Santa Fe;2012;TC2YMXVP
Chevrolet;Suburban 2500;2003;TD7O17L6
Cadillac;Eldorado;2001;K8T16E1I
Mercedes-Benz;SL-Class;1990;9MVHW2MY
Maserati;430;1989;FRIH2CH8
Acura;RL;2003;9LDTV8DY
Infiniti;I;2000;YJ9FVQ1N
Dodge;Ram 2500;2003;2PHJEIIV
Honda;Civic;2004;8CR0M6WV
Ford;Explorer Sport;2000;G4TQ09NK
Pontiac;Bonneville;1997;JBWI4VBB
Subaru;SVX;1997;C62E8A16
BMW;760;2005;IJOL8AR8
Hyundai;Santa Fe;2011;BSB5R0XZ
Chevrolet;Corvette;1984;EA7GNIN2
GMC;Safari;2003;IJVN3MU9
Chevrolet;Silverado 3500;2001;50AQJ682
Chevrolet;Suburban 1500;2000;MA7I3YRK
BMW;Z4 M;2009;M8UWJ6ZA
Kia;Sportage;2010;SN2YHQYO
Ford;Taurus;2006;EHQ51OHU
Suzuki;Daewoo Magnus;2005;HI784A1K
Ferrari;F430;2008;H01WPFMN
Kia;Optima;2010;9ESW3FX6
Honda;Accord;1986;TK5NFXVR
Mazda;B2000;1985;34221HC9
Toyota;Sienna;2004;U1V1OFWO
Chrysler;Sebring;2001;YKJU3E6S
Audi;A5;2012;DE9R14NI
BMW;600;1959;J451VM1Z
Ford;Fusion;2007;SX4RBAMY
Pontiac;Grand Prix;1996;STSEF8XO
Land Rover;LR2;2010;PMU7YZ9H
Ford;F250;1992;BENZATKI
GMC;Sierra Denali;2006;KEAN2JTG
Hyundai;Accent;2009;281Q387G
Volkswagen;GTI;1990;AAMJJ0KU
